,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
1109,2,663.81,4727,4.8,0.65,7.64,1.69,70.99,1.31,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1110,2,665.5,2478,2.52,0.26,7.17,1.29,38.82,1.03,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1111,2,666.79,5278,5.36,0.47,11.06,3.26,43.99,1.38,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1112,2,670.05,4803,4.88,0.35,12.24,2.85,33.8,1.16,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1113,2,672.9,4899,4.98,0.52,9.04,2.3,49.81,1.22,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1114,2,675.2,2605,2.65,0.29,7.64,1.17,36.72,1.06,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1115,2,676.37,4035,4.1,0.27,11.13,2.4,26.39,1.01,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1116,2,678.77,2045,2.08,0.28,6.13,2.06,28.33,0.95,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1117,2,680.83,5768,5.86,0.54,10.87,4.01,51.32,1.37,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1118,2,684.84,5249,5.33,0.67,8.56,2.86,64.66,1.47,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1119,2,687.7,2660,2.7,0.32,7.32,2.07,41.62,1.1,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1120,2,689.77,3140,3.19,0.35,7.94,2.8,47.35,1.15,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1121,2,692.57,33682,34.23,2.35,16.68,2.36,45.92,2.07,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1122,2,694.93,11611,11.8,0.79,15.69,1.74,38.28,1.34,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1123,2,696.67,10743,10.92,0.72,15.58,5.97,40.19,1.23,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1124,2,702.64,1802,1.83,0.23,5.25,2.84,20.76,0.93,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1125,2,705.48,2657,2.7,0.32,7.12,1.81,30.62,0.89,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1126,2,707.29,1829,1.86,0.25,5.3,1.93,26.26,0.94,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1127,2,709.22,2828,2.87,0.34,7.94,2.05,37.48,1.24,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1128,2,711.27,4066,4.13,0.27,11.06,2.29,27.54,1.02,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1129,2,713.56,4827,4.91,0.33,12.01,1.28,30.71,1.07,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1130,2,714.84,2320,2.36,0.27,6.11,1.82,30.16,1.05,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1131,2,716.66,3339,3.39,0.27,8.78,2.62,27.28,1.04,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1132,2,719.28,3250,3.3,0.36,9.06,1.41,32.45,1.2,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1133,2,720.69,2658,2.7,0.3,7.49,2.02,35.38,1.06,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1134,2,722.71,1791,1.82,0.25,5.14,1.08,22.92,0.96,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1135,2,723.79,5829,5.92,0.49,12.56,3.58,35.57,1.39,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1136,2,727.37,2034,2.07,0.25,5.8,1.42,25.01,0.89,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1137,2,728.79,2982,3.03,0.29,8.18,4.28,34.03,1.01,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1138,2,733.07,3591,3.65,0.26,10.09,1.7,24.31,1.01,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1139,2,734.77,1981,2.01,0.29,6.03,1.76,28.32,0.97,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1140,2,736.53,3178,3.23,0.26,8.93,2.41,24.58,0.99,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1141,2,738.94,3529,3.59,0.39,9.02,5.93,41.29,1.36,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1142,2,744.87,3585,3.64,0.27,10.14,1.41,22.67,0.99,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1143,2,746.28,2382,2.42,0.25,6.8,2.09,23.71,1.15,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
