,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
3750,5,1651.98,7720,7.9,0.76,10.98,3.74,42.93,1.6,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3751,5,1655.72,2399,2.46,0.28,6.73,1.95,28.11,1.02,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3752,5,1657.67,1967,2.01,0.25,5.96,2.39,25.38,1.1,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3753,5,1660.06,2220,2.27,0.25,6.5,2.56,24.07,1.11,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3754,5,1662.62,1782,1.82,0.24,5.58,1.11,26.36,1.05,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3755,5,1663.73,3155,3.23,0.28,9.31,1.08,8.92,1.26,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3756,5,1664.81,1483,1.52,0.25,4.54,2.85,36.69,0.96,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3757,5,1667.66,3076,3.15,0.31,8.59,4.03,29.83,1.31,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3758,5,1671.69,2415,2.47,0.43,6.47,2.2,38.18,1.24,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3759,5,1673.89,2413,2.47,0.24,7.17,1.53,18.76,1.02,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
