,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
4118,6,447.31,1773,1.98,0.27,5.55,2.52,24.03,1.12,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4119,6,449.83,1317,1.47,0.43,3.39,1.12,45.32,1.08,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4120,6,450.95,1298,1.45,0.32,3.75,1.0,39.24,1.15,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4121,6,451.95,1189,1.33,0.27,3.87,1.55,23.92,0.94,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4122,6,453.5,1662,1.86,0.26,5.35,3.96,21.09,1.07,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4123,6,457.46,1614,1.8,0.25,5.06,2.28,19.99,1.07,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4124,6,459.74,1524,1.7,0.26,4.79,1.76,20.28,0.92,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4125,6,461.5,1304,1.46,0.41,3.04,2.22,53.8,1.35,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4126,6,463.72,1329,1.48,0.28,4.09,1.05,32.12,1.04,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4127,6,464.77,904,1.01,0.38,2.42,1.05,55.25,1.24,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4128,6,465.82,1373,1.53,0.29,4.31,1.48,33.71,1.04,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4129,6,467.3,993,1.11,0.35,3.11,1.22,43.59,1.03,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4130,6,468.52,1432,1.6,0.26,4.59,1.72,23.86,1.11,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4131,6,470.24,1258,1.41,0.28,3.86,1.82,27.25,1.15,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4132,6,472.06,1585,1.77,0.25,4.91,2.19,23.14,1.06,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4133,6,474.25,923,1.03,0.28,2.99,1.47,28.01,0.99,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4134,6,475.72,1172,1.31,0.31,3.63,2.05,30.11,1.22,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4135,6,477.77,1634,1.83,0.26,5.33,1.82,20.34,1.14,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4136,6,479.59,938,1.05,0.3,3.01,1.47,29.43,1.12,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4137,6,481.06,1369,1.53,0.29,4.38,1.67,30.58,1.12,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4138,6,482.73,1097,1.23,0.35,3.25,1.19,45.63,1.29,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4139,6,483.92,1569,1.75,0.37,4.43,2.43,42.09,1.11,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4140,6,486.35,1537,1.72,0.25,4.9,1.66,23.86,1.02,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4141,6,488.01,1493,1.67,0.3,4.68,2.04,29.31,1.31,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4142,6,490.05,1291,1.44,0.29,3.71,1.12,31.64,1.06,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4143,6,491.17,1374,1.54,0.25,4.34,1.54,21.56,0.94,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4144,6,492.71,1038,1.16,0.28,3.34,2.38,29.34,0.94,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4145,6,495.09,1279,1.43,0.3,3.82,1.73,30.99,1.03,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4146,6,496.82,1324,1.48,0.31,3.85,1.51,34.03,1.07,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4147,6,498.33,1789,2.0,0.48,4.07,1.52,59.99,1.59,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4148,6,499.85,1201,1.34,0.28,3.79,1.93,28.42,1.0,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4149,6,501.78,1592,1.78,0.26,4.99,2.06,22.17,1.08,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4150,6,503.84,1822,2.04,0.32,5.29,1.76,30.18,1.15,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4151,6,505.6,1592,1.78,0.29,4.77,1.53,30.97,1.11,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4152,6,507.13,1303,1.46,0.27,4.02,1.48,29.73,1.07,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4153,6,508.61,1279,1.43,0.29,3.95,1.73,32.48,1.03,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4154,6,510.34,1519,1.7,0.26,4.61,2.16,23.19,0.98,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4155,6,512.5,1542,1.72,0.26,4.79,1.67,22.49,0.95,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4156,6,514.17,1444,1.61,0.27,4.45,1.58,26.89,0.99,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4157,6,515.75,1464,1.64,0.26,4.41,1.02,29.81,0.99,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4158,6,516.77,1182,1.32,0.25,3.8,1.19,24.71,0.99,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
